"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript", "HTML", "TypeScript JSX", "PostCSS", "Python", "comment", "blank", "total"
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\data\natures.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\data\pokedex.ts", "TypeScript", 0, 0, 0, 0, 18482, 0, 0, 0, 0, 0, 15, 18497
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\data\pokemonTypes.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 1, 44
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\data\typeEffectiveness.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\icon\aa.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 4, 19
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 65, 0, 16, 14, 95
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\types\TeamMemberCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 15, 14, 165
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 363, 0, 0, 0, 0, 9, 35, 407
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\utils\calculator.ts", "TypeScript", 0, 0, 0, 0, 464, 0, 0, 0, 0, 37, 64, 565
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\utils\moveEffects.ts", "TypeScript", 0, 0, 0, 0, 141, 0, 0, 0, 0, 17, 20, 178
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\tailwind.config.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\tsconfig.app.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\tsconfig.node.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\vite.config.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 8260, 7, 2, 43, 33596, 14, 7960, 65, 22, 381, 1056, 51406
